size    stride  elapsed(s)      cycles
[LOG]: running with array of size 4 KiB
4096    1       0.000957        957
4096    2       0.000975        975
4096    4       0.000972        972
4096    8       0.000962        962
4096    16      0.000970        970
4096    32      0.000960        961
4096    64      0.000934        934
4096    128     0.000897        897
4096    256     0.000918        918
4096    512     0.000870        870
4096    1024    0.000848        849
4096    2048    0.000847        847
[LOG]: running with array of size 8 KiB
8192    1       0.001849        1849
8192    2       0.001862        1861
8192    4       0.001892        1891
8192    8       0.001841        1840
8192    16      0.001899        1900
8192    32      0.001857        1856
8192    64      0.001892        1892
8192    128     0.001750        1750
8192    256     0.001711        1710
8192    512     0.001680        1681
8192    1024    0.001653        1653
8192    2048    0.001706        1706
8192    4096    0.001741        1741
[LOG]: running with array of size 16 KiB
16384   1       0.003674        3675
16384   2       0.003655        3655
16384   4       0.003634        3634
16384   8       0.003592        3592
16384   16      0.003653        3653
16384   32      0.003651        3651
16384   64      0.003640        3640
16384   128     0.003582        3581
16384   256     0.003418        3418
16384   512     0.003337        3337
16384   1024    0.003291        3290
16384   2048    0.003430        3429
16384   4096    0.003546        3546
16384   8192    0.003430        3430
[LOG]: running with array of size 32 KiB
32768   1       0.007123        7123
32768   2       0.007123        7123
32768   4       0.007156        7156
32768   8       0.007106        7106
32768   16      0.006896        6896
32768   32      0.007284        7284
32768   64      0.007288        7288
32768   128     0.007241        7241
32768   256     0.007215        7214
32768   512     0.006760        6760
32768   1024    0.006638        6638
32768   2048    0.006847        6847
32768   4096    0.007192        7192
32768   8192    0.007108        7108
32768   16384   0.006781        6781
[LOG]: running with array of size 64 KiB
65536   1       0.013734        13734
65536   2       0.013116        13116
65536   4       0.014000        14000
65536   8       0.014359        14359
65536   16      0.014194        14194
65536   32      0.013994        13994
65536   64      0.012267        12268
65536   128     0.012274        12274
65536   256     0.012453        12452
65536   512     0.012414        12414
65536   1024    0.012141        12140
65536   2048    0.034601        34601
65536   4096    0.040871        40871
65536   8192    0.014116        14116
65536   16384   0.014036        14035
65536   32768   0.013316        13315
[LOG]: running with array of size 128 KiB
131072  1       0.027000        27001
131072  2       0.026207        26207
131072  4       0.027968        27968
131072  8       0.028660        28660
131072  16      0.028547        28547
131072  32      0.028006        28006
131072  64      0.024749        24750
131072  128     0.024287        24287
131072  256     0.024307        24307
131072  512     0.024544        24544
131072  1024    0.024446        24446
131072  2048    0.071035        71035
131072  4096    0.103703        103703
131072  8192    0.064999        64999
131072  16384   0.028173        28173
131072  32768   0.027829        27828
131072  65536   0.026626        26626
[LOG]: running with array of size 256 KiB
262144  1       0.053976        53976
262144  2       0.051990        51990
262144  4       0.055913        55913
262144  8       0.056831        56831
262144  16      0.056041        56041
262144  32      0.054051        54051
262144  64      0.052057        52057
262144  128     0.056039        56039
262144  256     0.060874        60874
262144  512     0.062712        62712
262144  1024    0.064003        64003
262144  2048    0.143103        143103
262144  4096    0.224628        224628
262144  8192    0.228334        228334
262144  16384   0.172662        172661
262144  32768   0.056775        56775
262144  65536   0.056159        56159
262144  131072  0.053024        53024
[LOG]: running with array of size 512 KiB
524288  1       0.107857        107857
524288  2       0.104031        104032
524288  4       0.112008        112008
524288  8       0.113153        113152
524288  16      0.111108        111108
524288  32      0.106260        106260
524288  64      0.109836        109836
524288  128     0.130486        130486
524288  256     0.157730        157730
524288  512     0.162909        162909
524288  1024    0.164755        164755
524288  2048    0.158491        158491
524288  4096    0.439661        439662
524288  8192    0.451720        451720
524288  16384   0.443075        443075
524288  32768   0.287196        287197
524288  65536   0.120096        120095
524288  131072  0.111235        111235
524288  262144  0.106277        106277
[LOG]: running with array of size 1024 KiB
1048576 1       0.215769        215768
1048576 2       0.208153        208153
1048576 4       0.224065        224065
1048576 8       0.226270        226270
1048576 16      0.222106        222106
1048576 32      0.212036        212037
1048576 64      0.220681        220681
1048576 128     0.264143        264143
1048576 256     0.328998        329013
1048576 512     0.343915        343915
1048576 1024    0.351595        351595
1048576 2048    0.318442        318442
1048576 4096    0.899899        899899
1048576 8192    0.926003        926003
1048576 16384   0.883660        883659
1048576 32768   0.828711        828711
1048576 65536   0.713898        713898
1048576 131072  0.240036        240036
1048576 262144  0.222352        222353
1048576 524288  0.212265        212265
[LOG]: running with array of size 2048 KiB
2097152 1       0.430747        430747
2097152 2       0.416689        416689
2097152 4       0.447853        447852
2097152 8       0.451908        451908
2097152 16      0.444072        444072
2097152 32      0.424677        424677
2097152 64      0.441486        441486
2097152 128     0.529005        529005
2097152 256     0.658902        658903
2097152 512     0.689708        689708
2097152 1024    0.708677        708677
2097152 2048    0.636643        636643
2097152 4096    1.812243        1812243
2097152 8192    1.816664        1816665
2097152 16384   1.821852        1821852
2097152 32768   1.788777        1788776
2097152 65536   1.692937        1692937
2097152 131072  1.618188        1618188
2097152 262144  0.480373        480373
2097152 524288  0.444081        444081
2097152 1048576 0.424569        424569
[LOG]: running with array of size 4096 KiB
4194304 1       0.863317        863317
4194304 2       0.832754        832755
4194304 4       0.896376        896376
4194304 8       0.904084        904083
4194304 16      0.887837        887837
4194304 32      0.852400        852400
4194304 64      0.890428        890428
4194304 128     1.067094        1067094
4194304 256     1.336654        1336654
4194304 512     1.432931        1432931
4194304 1024    1.479981        1479981
4194304 2048    1.406517        1406517
4194304 4096    3.614843        3614843
4194304 8192    3.637108        3637108
4194304 16384   3.640131        3640131
4194304 32768   3.638685        3638685
4194304 65536   3.608715        3608715
4194304 131072  3.665778        3665778
4194304 262144  2.310549        2310549
4194304 524288  0.960250        960250
4194304 1048576 0.888331        888331
4194304 2097152 0.848918        848917
